token_id,lang,translation,created_at,updated_at
66,en,Zaynab,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
67,fr,Sarah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
67,en,Sarah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
68,fr,Salem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
68,en,Salem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
69,fr,Sami,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
69,en,Sami,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
70,fr,Samia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
70,en,Samia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
71,fr,Sirine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
71,en,Serene,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
72,fr,Souad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
72,en,Suad,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
73,fr,Saïd,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
73,en,Saeed,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
74,fr,Sofiane,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
74,en,Sufyan,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
75,fr,Salma,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
75,en,Salma,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
76,fr,Samira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
76,en,Samira,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
77,fr,Sonia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
77,en,Sonia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
78,fr,Saif,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
78,en,Saif,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
79,fr,Seifeddine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
79,en,Saif al-Din,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
80,fr,Chadlia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
80,en,Shadliya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
81,fr,Chafia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
81,en,Shafia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
82,fr,Chahin,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
82,en,Shahin,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
83,fr,Chokri,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
83,en,Shukri,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
84,fr,Cheikha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
84,en,Sheikha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
85,fr,Chyoukha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
85,en,Shyukha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
86,fr,Sabriya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
86,en,Sabriya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
87,fr,Sadok,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
87,en,Sadiq,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
88,fr,Saliha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
88,en,Saliha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
89,fr,Sahbi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
89,en,Sahbi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
90,fr,Sahar,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
90,en,Sahar,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
91,fr,Saddam,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
91,en,Saddam,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
92,fr,Salah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
92,en,Salah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
93,fr,Doha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
93,en,Duha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
94,fr,Tarek,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
94,en,Tariq,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
95,fr,Tahar,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
95,en,Tahir,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
96,fr,Taha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
96,en,Taha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
97,fr,Aïcha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
97,en,Aisha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
98,fr,Abderrahman,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
98,en,Abdul Rahman,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
99,fr,Abdessalem,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
99,en,Abdul Salam,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
100,fr,Abdelkader,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
100,en,Abdul Qadir,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
101,fr,Abdallah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
101,en,Abdullah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
102,fr,Abdelmajid,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
102,en,Abdul Majid,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
103,fr,Obeidia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
103,en,Ubaydiyya,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
104,fr,Ezzeddine,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
